Kellogs All Bran Bars;793.87
Truffle - Peelings;549.17
Tuna - Canned, Flaked, Light;242.13
Soup - French Can Pea;864.06
Chocolate Bar - Smarties;813.92
Red Cod Fillets - 225g;652.87
Sobe - Green Tea;891.46
Wine - Guy Sage Touraine;788.01
Lemon Grass;958.03
Grapes - Black;447.26
Puree - Pear;266.12
Vermouth - White, Cinzano;876.57
Butter - Salted;306.65
Parsnip;960.04
Parsley Italian - Fresh;954.04
Campari;676.08
Table Cloth 62x120 Colour;270.83
Pastry - Banana Tea Loaf;661.09
Soup - Cream Of Broccoli;560.80
Ham - Proscuitto;302.94
Flour - Bran, Red;955.50
Higashimaru Usukuchi Soy;103.08
Stock - Beef, White;217.26
Pork - Ham, Virginia;563.96
Mix - Cocktail Strawberry Daiquiri;129.43
Miso Paste White;507.44
Cookie Chocolate Chip With;986.43
Kellogs Raisan Bran Bars;432.40
Shrimp - Baby, Warm Water;153.14
Lighter - Bbq;352.96
Amarula Cream;953.38
Mushroom - Chanterelle, Dry;380.88
Soup - Campbellschix Stew;537.91
Shrimp - Tiger 21/25;854.34
Tea - Herbal Sweet Dreams;607.47
Beef - Prime Rib Aaa;442.22
Pasta - Lasagna, Dry;947.94
Sword Pick Asst;567.85
Puree - Guava;572.58
Cheese - La Sauvagine;874.60
Hinge W Undercut;912.97
Monkfish Fresh - Skin Off;199.82
Longos - Cheese Tortellini;139.61
Bread Ww Cluster;795.34
Taro Root;588.92
Ice - Clear, 300 Lb For Carving;265.06
Glass - Wine, Plastic, Clear 5 Oz;509.49
Stock - Veal, White;604.30
Cheese - Augre Des Champs;612.91
Tomato Puree;943.74